                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.82596,                 1.1862,                 1.0122,                 0.9377,                0.92752,                0.99262,                0.80955,                0.77253,                0.98063,                0.89837,             0.00044396,             0.00044396,             0.00044396
                     36,                0.76332,                 0.9613,                 1.0555,                 0.9377,                0.92752,                0.99262,                0.80955,                0.77253,                0.98063,                0.89837,             0.00044301,             0.00044301,             0.00044301
                     37,                0.77452,                 1.0005,                 1.0459,                0.97568,                 0.9161,                0.99262,                0.79047,                0.82824,                 0.9831,                0.90845,             0.00044207,             0.00044207,             0.00044207
                     38,                0.80361,                 0.9407,                 1.0276,                0.99268,                      1,                  0.995,                0.80636,                0.78213,                0.87713,                0.87166,             0.00044113,             0.00044113,             0.00044113
                     39,                0.84009,                 1.0204,                 1.0942,                0.98871,                      1,                  0.995,                0.80588,                0.72737,                0.98794,                0.86698,             0.00044019,             0.00044019,             0.00044019
                     40,                0.73634,                0.92672,                0.99652,                0.98871,                      1,                  0.995,                0.80588,                0.72737,                0.98794,                0.86698,             0.00043924,             0.00043924,             0.00043924
                     41,                0.70349,                0.83646,                0.99189,                0.96649,                      1,                  0.995,                 0.8105,                0.69817,                0.97777,                 0.8726,              0.0004383,              0.0004383,              0.0004383
                     42,                0.73248,                0.90409,                0.98746,                0.95995,                0.99899,                  0.995,                0.80968,                0.68542,                 0.9218,                0.87134,             0.00043736,             0.00043736,             0.00043736
                     43,                  0.738,                0.99276,                 1.0332,                0.96671,                      1,                  0.995,                0.81515,                0.68065,                0.90104,                0.86958,             0.00043642,             0.00043642,             0.00043642
                     44,                0.79762,                0.87691,                 1.0221,                0.96671,                      1,                  0.995,                0.81515,                0.68065,                0.90104,                0.86958,             0.00043547,             0.00043547,             0.00043547
                     45,                0.74153,                0.95286,                 1.0284,                0.97545,                      1,                  0.995,                0.81712,                0.66412,                0.89213,                0.87063,             0.00043453,             0.00043453,             0.00043453
                     46,                0.73806,                0.91552,                 1.0191,                0.99456,                      1,                  0.995,                0.79449,                0.72614,                0.77729,                0.89449,             0.00043359,             0.00043359,             0.00043359
                     47,                0.79917,                0.92149,                 1.0489,                0.99534,                      1,                  0.995,                0.83164,                0.73482,                0.75988,                 0.9046,             0.00043265,             0.00043265,             0.00043265
                     48,                0.74705,                0.94447,                 1.0028,                0.99534,                      1,                  0.995,                0.83164,                0.73482,                0.75988,                 0.9046,              0.0004317,              0.0004317,              0.0004317
                     49,                0.73742,                0.90759,                0.98736,                0.99347,                      1,                  0.995,                0.85822,                0.73981,                0.86779,                 0.9221,             0.00043076,             0.00043076,             0.00043076
                     50,                0.78765,                0.96271,                 1.0475,                0.99164,                      1,                  0.995,                0.84947,                0.76417,                 0.9838,                0.94846,             0.00042982,             0.00042982,             0.00042982
                     51,                0.80134,                0.90512,                 1.0446,                 0.9957,                      1,                  0.995,                0.84136,                0.79471,                 1.0339,                0.96785,             0.00042888,             0.00042888,             0.00042888
                     52,                0.71654,                0.84348,                0.98216,                 0.9957,                      1,                  0.995,                0.84136,                0.79471,                 1.0339,                0.96785,             0.00042793,             0.00042793,             0.00042793
                     53,                0.80519,                0.87484,                 1.0212,                0.99781,                      1,                  0.995,                0.85342,                0.79616,                 1.0333,                0.96232,             0.00042699,             0.00042699,             0.00042699
